House,Predicted,Predicted_3d,thresh,major_pitch
00e47e73-f311-44b7-a9d7-244e957cd1fd,2224.696913,1979.95,4,1.1581
02470c00-3caa-4a2a-8dcc-d9e42277f502,1423.37955,1121.27,5,1.02474
039df683-6d63-42c9-b39a-f0fe54ce7e27,1581.38831,1293.18,6,1.06406
06567083-8b47-45b5-be95-f9ab67375820,3336.661981,2850.85,4,1.11146
074d9424-a2a3-4dc7-9be8-c2f93ec12324,1022.686834,823.767,4,1.04775
08e4fbf0-e9e6-4c60-bd14-c0f1363f74a5,2054.578219,1645.64,5,1.04288
096b26e7-f826-4784-90e5-f7c04a09594c,2135.271786,1926.49,7,1.17387
0993a0ce-c865-4472-aa77-1efb0a76789c,2398.573739,1931.13,5,1.04772
0a2f2de9-6069-4c3d-92ee-23867af1613c,2064.29263,1874.66,6.5,1.18133
0b80dece-92ed-4a9f-976c-484cca86cb01,1871.981728,1546.23,5,1.07482
0d00a8c4-9ea8-44bf-9442-c3bf639103d2,201.9818537,155.679,6.5,1
0e644cba-404d-4f91-81d5-67dbb9e8bf7e,3947.082851,4217.64,6,1.39046
0e896d90-f16e-40f8-a299-2f9ea99887e9-P,3658.811136,3907.73,6.5,1.38978
0f524e00-cee5-4abe-b7d1-8d555418b7e3,2664.078212,2202.72,4,1.07598
0f98fbd5-24ec-4ddb-a9ea-56c806825e03,1388.996727,1135.56,5,1.06379
126763ec-fe33-4d25-bef7-e4f464234619,1304.711366,1128.1,7,1.12476
12a385f6-607b-4d22-996a-3f3027b2d4d6,2131.084666,1737.68,4,1.06077
149d0bce-bd88-45a5-a13d-777370fc2941,1930.597123,1728.33,4,1.16468
15939228-8b7d-420d-9783-d17ba6438549,1118.758379,994.364,7,1.15604
15e7a935-ca4a-45bb-8ddc-6d3222d5849e,1973.219606,1615.95,5,1.06544
17983b28-e263-4689-9b74-00610ada521e,1144.813947,945.726,4,1.07458
182dc0b4-fe3d-4c3b-98b3-ac6fe2fb1d20,2011.155103,1693.67,4,1.0955
19cee50f-7614-4e4a-bf6a-b1e6ec3cabd8,2425.839051,2172.31,6.5,1.16516
19e4e9ed-d5c4-4d90-82a3-5f84f273ed68,2700,2700,6,1.41
1ba495b3-4674-4619-b0b4-024690359d8c,1071.350966,869.497,4,1.05573
1bd31cbe-1eaa-48ba-ab9b-a54d3f72ec31,2139.314402,1708.26,6,1.03885
1c4b02b4-524b-496e-9172-666f8126da1d,1552.7579,1288.07,6,1.07943
215b9328-3042-4551-847f-944e27dba78f,2033.45726,1806.47,5,1.15566
237c9cd8-3766-4fd7-9603-d090e8d3b781,1241.991407,1061.15,4,1.11138
257a070e-dbd3-470d-86c7-e6cfc3142022,930.301569,788.097,4,1.10143
25cc4913-4603-4a51-bbbf-1b6b63f1677b,2154.926877,1731.84,5,1.04579
271bac56-f64b-4d9d-93d3-e9fedda7a7ce,2223.111326,1861.02,4,1.08913
27e93ed0-3a2f-4b86-8e68-2fcd96e682dd,1539.597004,1276.49,6,1.07874
286da5a6-2220-4344-b2a5-ca64466551b6,2054.676638,1770.6,6,1.12139
29abb1da-a228-4aca-b6ff-5557b96ce6e1,2299.142058,1876.98,4,1.06244
2a3d5c97-a214-434e-8e39-ef08126be234,3421.438543,3232.88,4,1.22952
2aa1f5bb-0c06-44e3-ab56-50845b5a99ad,1004.645235,821.993,6,1.06431
2aa56edf-fd3f-4a82-acfa-90f02166c4c4-PBAD,3204.611135,3195.1,6.5,1.2974
2b0b32de-b615-4706-94de-4e62d798dd0e,2446.149176,1988.99,6,1.05803
2cbdfff6-5483-4615-af64-b5066eea1768-P,2689.154393,2363.3,6.5,1.14351
2d379539-3ec7-4b0f-92be-a1b76c765171,340.4177253,254.969,4,1.00047
2dea7532-0eb2-47cd-9a1c-026189661d26,4178.585128,3691.92,5,1.14951
2eadb745-9b22-418c-9752-b54de4f5f665,1341.431963,1161.51,4,1.12611
3124560d-3597-4003-97fb-838dc31a80ad,1904.746128,1544.66,6,1.05534
4f4c7839-783a-4eb4-99c1-d28634ab7c06,2371.652622,2039.03,4,1.11859
7d11f1c0-7f4d-4ce9-a17d-ce6fcd85095c,1334.699849,1256.17,4,1.22509
b4f3d5bd-ea66-43f1-855d-8399f5a08e79,1792.836789,1663.86,4,1.20768
f572a43e-fca1-4ab6-824f-3de7a3904256,1224.58991,1088.53,7,1.15631